title,franchise_group,owner,current_platform,tmdb_id,tmdb_media_type,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,tmdb_poster_path,tmdb_original_title,value_score_raw,value_score_norm
The Flash,Arrowverse / DC,Warner Bros Discovery,Netflix,60735,tv,53.0304,11433,7.77,/yZevl2vHQgmosfwUdVNzviIfaWS.jpg,The Flash,72.62859818787825,0.009393409108699758
Arrow,Arrowverse / DC,Warner Bros Discovery,Netflix,1412,tv,37.2154,6177,6.829,/u8ZHFj1jC384JEkTt3vNg1DfWEb.jpg,Arrow,54.66424790396543,0.007069992495972904
Riverdale,Archie Comics Universe,Warner Bros Discovery,Netflix,69050,tv,20.8028,13631,8.419,/d8mmn9thQ5dBk2qbv6BCqGUXWK3.jpg,Riverdale,41.77535957742262,0.0054030100120982805
The Vampire Diaries,The Vampire Diaries Universe,Warner Bros Discovery,Max,18165,tv,51.7539,9382,8.309,/b3vl6wV1W8PBezFfntKTrhrehCY.jpg,The Vampire Diaries,72.34424171632574,0.009356631906101278
The Steve Katsos Show,Pretty Little Liars Franchise,Warner Bros Discovery,Rent/Buy,31817,tv,0.0071,0,0.0,,The Steve Katsos Show,0.0071,9.182774600611719e-07
The Good Doctor,The Big Bang Theory Franchise,Warner Bros Discovery,Hulu,71712,tv,44.8586,12668,8.467,/luhKkdD80qe62fwop6sdrXK9jUT.jpg,The Good Doctor,65.89534233614458,0.008522564449337501
Castle,Standalone,Warner Bros Discovery,Hulu,1419,tv,48.4247,2004,7.979,/diXBeMzvfJb2iJg3G0kCUaMCzEc.jpg,Castle,67.6848143769562,0.00875400555363144
#heuldoch - Therapie wie noch nie,Standalone,Warner Bros Discovery,Rent/Buy,115456,tv,0.2268,2,3.5,/s6m4jNRZq22bSB6kBzavY4zIHyB.jpg,#heuldoch - Therapie wie noch nie,7.7039212547196625,0.0009963855270838378
Growing Up Hip Hop: New York,Standalone,Warner Bros Discovery,Rent/Buy,92950,tv,0.1328,2,10.0,/cQDXHnuNASvpZ4VEd0Bri6d2pfP.jpg,Growing Up Hip Hop: New York,20.609921254719662,0.0026655811467386947
The Last of Us,The Last of Us Franchise,Warner Bros Discovery,Max,100088,tv,22.9468,6614,8.466,/dmo6TYuuJgaYinXBPjrgG9mB5od.jpg,The Last of Us,43.69932984852352,0.005651846425306695
House of the Dragon,A Song of Ice and Fire / Westeros,Warner Bros Discovery,Max,94997,tv,29.9175,5595,8.307,/oxmdHR5Ka28HAJuMmS2hk5K6QQY.jpg,House of the Dragon,50.27937770581979,0.006502875951148804
I Love Tokyo Legend - Kawaii Detective -,True Detective (Anthology),Warner Bros Discovery,Rent/Buy,48052,tv,1.2602,5,5.8,/WQEGJ79NkXAZ728sYPTrP2QVAE.jpg,都市伝説の女,13.638351250383643,0.0017639141613555493
Westworld,Standalone,Warner Bros Discovery,Rent/Buy,63247,tv,19.5096,5921,8.029,/8MfgyFHf7XEboZJPZXCIDqqiz6e.jpg,Westworld,39.34006840305328,0.005088041984758948
Barry,Standalone,Warner Bros Discovery,Max,73107,tv,8.3993,1055,7.898,/j1XpwD11f0BAEI7pX6UdMhUVX2F.jpg,Barry,27.218963918197794,0.0035203607115914582
Annie MG,Standalone,Warner Bros Discovery,Rent/Buy,76097,tv,0.2444,2,7.5,/kwu3hBVq9h3oFOXo1VPOMEAEjUD.jpg,Annie MG,15.721521254719663,0.0020333406487439013
Gordon Behind Bars,Standalone,Warner Bros Discovery,Peacock,54905,tv,0.459,20,5.7,/npHPfADDLy9duJ2LvgXhg318rGd.jpg,Gordon Behind Bars,13.18121929473392,0.0017047910668278275
"Love, Death & Robots",DC / Watchmen,Warner Bros Discovery,Netflix,86831,tv,15.9109,3771,8.224,/asDqvkE66EegtKJJXIRhBJPxscr.jpg,"Love, Death & Robots",35.93547168406529,0.004647708966780794
Declassified,DC Animated Universe (DCAU),Warner Bros Discovery,Rent/Buy,179,tv,0.0652,0,0.0,/rhnjmWpnEruEO9PuENcxn9JjqEh.jpg,Declassified,0.0652,8.432632450139211e-06
The Millionaire Detective – Balance: UNLIMITED,Looney Tunes,Warner Bros Discovery,Rent/Buy,98491,tv,2.8953,63,6.9,/i9Xwd7mUxASxU8ofCQc77XLj1Ff.jpg,富豪刑事 Balance:UNLIMITED,18.501479973983887,0.0023928862025186706
The Premiership,Looney Tunes / Tiny Toons,Warner Bros Discovery,Rent/Buy,1344,tv,0.0071,0,0.0,,The Premiership,0.0071,9.182774600611719e-07
